origin;destination;num_orders
PIADENA DRIZZONA;TRESCORE CREMASCO;33
TRIGOLO;BRESCIA;33
PALAZZO PIGNANO;PALAZZO PIGNANO;33
SOLAROLO RAINERIO;RIPALTA CREMASCA;33
PIADENA DRIZZONA;UNIONE MUNICIPIA;33
SONCINO;MONTE CREMASCO;33
ISOLA DOVARESE;SONCINO;33
SAN GIOVANNI IN CROCE;CREMONA - CDA;33
PALAZZO PIGNANO;PIANENGO;33
TRESCORE CREMASCO;PANDINO;33
PIADENA DRIZZONA;CAPRALBA;33
SERGNANO;VAIANO CREMASCO;33
BAGNOLO CREMASCO;CASALMAGGIORE;33
MARTIGNANA DI PO;PANDINO;32
CENTRO FUMETTO A. PAZIENZA;CASTELLEONE;32
CAPERGNANICA;SORESINA;32
PANDINO;Agnadello;32
ROMANENGO;ROMANENGO;32
Agnadello;MONTE CREMASCO;32
BAGNOLO CREMASCO;ISOLA DOVARESE;32
GRONTARDO;PANDINO;32
